,x_24,y_24,x_26,y_26,x_28,y_28
0,988,333,981,440,1012,557
1,987,334,981,440,1012,557
2,987,335,981,440,1012,557
3,986,335,982,440,1013,556
4,982,335,982,440,1013,556
5,978,337,982,440,1012,556
6,970,337,979,442,1012,556
7,967,339,977,443,1012,556
8,959,341,965,448,1012,556
9,946,345,962,465,1010,554
10,934,355,955,480,1007,549
11,923,365,956,484,1007,545
12,922,366,950,481,1006,544
13,904,369,949,466,1005,545
14,871,367,938,459,1001,544
15,848,365,912,456,998,544
16,813,361,851,454,953,513
17,814,360,838,455,945,508
18,791,355,779,454,883,495
19,770,345,714,445,797,471
20,750,333,678,415,751,480
21,728,320,648,345,671,404
22,731,319,649,343,678,400
23,704,314,636,316,625,366
24,686,296,615,294,549,314
25,664,291,583,286,490,277
26,657,289,549,269,438,227
27,649,289,550,268,440,229
28,645,292,535,264,419,217
29,638,296,529,259,412,207
30,627,295,523,252,418,201
31,621,291,517,243,413,195
32,616,287,510,240,407,190
33,615,285,509,240,405,186
34,620,285,516,246,409,189
35,626,286,516,253,413,198
36,625,287,511,257,424,209
37,624,288,512,259,425,212
38,624,288,519,274,426,228
39,616,288,516,285,467,265
40,618,287,521,297,543,287
41,621,282,538,294,562,338
42,622,283,545,293,561,342
43,623,284,552,298,588,361
44,623,284,558,305,599,373
45,626,287,561,323,593,395
46,628,290,560,337,583,418
47,631,291,560,340,582,419
48,633,292,560,361,575,447
49,633,296,563,385,570,474
50,632,297,572,398,560,499
51,629,300,583,397,546,514
52,629,300,584,397,541,516
53,628,302,589,403,537,527
54,624,308,585,418,537,537
55,618,312,582,430,538,544
56,614,317,581,437,539,546
57,613,317,582,432,539,547
58,610,317,582,430,544,546
59,601,321,579,441,547,549
60,593,327,574,450,548,553
61,585,335,569,454,548,556
62,584,337,568,455,548,558
63,578,339,563,457,548,558
64,573,338,561,454,548,557
65,571,337,559,451,547,557
66,571,336,558,449,546,556
67,571,335,559,448,546,555
68,572,336,558,447,545,555
69,573,338,559,448,545,555
70,574,340,559,448,545,557
71,576,339,558,447,545,556
72,577,339,559,447,545,555
73,584,339,559,445,544,555
74,591,339,560,446,543,556
75,600,341,566,449,542,557
76,612,344,575,450,542,557
77,612,344,578,451,542,557
78,627,348,588,452,542,557
79,645,349,601,450,547,557
80,659,349,611,446,562,551
81,658,348,613,438,566,547
82,674,349,625,438,591,544
83,691,349,644,438,623,544
84,707,348,670,439,670,541
